DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2016,36400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2017,37000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2018,38400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2019,39300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2020,37400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2021,40200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2022,44300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2023,45700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2024,45900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2005,5600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2006,6300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2007,6900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2008,7400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2009,7200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2010,7400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2011,7700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2012,7800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2013,8000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2014,8100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2015,8500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2016,8900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2017,9200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2018,9800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2019,10200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2020,9900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2021,11000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2022,12400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2023,13600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bosnia and Herzegovina,2024,13800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2003,25400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2004,26200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2005,27200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2006,28000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2007,29100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2008,29400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2009,28600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2010,30200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2011,30700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2012,31400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2013,31700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2014,32400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2015,33100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2016,33600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2017,34500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2018,35600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2019,36900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2020,35800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2021,38700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2022,42700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2023,44800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Belgium,2024,46200,p,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2003,6900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2004,7500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2005,8300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2006,9000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2007,10000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2008,10900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2009,10500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2010,11100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2011,11700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2012,12100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2013,12200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2014,12900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2015,13600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2016,14400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2017,15300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2018,16300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2019,17400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2020,17500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2021,19800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2022,22400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2023,24300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Bulgaria,2024,26300,p,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2003,31600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2004,32600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2005,33800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2006,36500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2007,39900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2008,41500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2009,39800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2010,41100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2011,42900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2012,43900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2013,44500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2014,45500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2015,46900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2016,46800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2017,46800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2018,47900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2019,47900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2020,46600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2021,51600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2022,57200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2023,58500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Switzerland,2024,60000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2003,19900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2004,21200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2005,22700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2006,23900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2007,26000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2008,27000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2009,25600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2010,25400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2011,24900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2012,23600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2013,22000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2014,21400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2015,22600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2016,24500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2017,25900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2018,27300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2019,28900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2020,27200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2021,30400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2022,34100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2023,35900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Cyprus,2024,37800,p,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2003,16100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2004,17100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2005,18100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2006,19000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2007,20700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2008,21600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2009,20800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2010,21200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2011,21800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2012,21800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2013,22400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2014,23500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2015,24600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Czechia,2016,25400,,
